output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,22.4558599935815,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
7.06608630026058e-22,6.88415154162618e-76,17784812.9518519,4.82703837795579e-22,0.772746389082721,0.927782150191573
8.41272152057648e-22,9.55530524937286e-80,680466.952647692,5.74696202640204e-22,0.0295661462379268,0.0358981791558307
1.00159947636304e-21,1.15523861765487e-83,23237.9340029984,6.84220218420844e-22,0.00100968335394778,0.0012388750902371
1.19248153953155e-21,1.21733731773995e-87,710.930077017643,8.14617018774637e-22,3.088976259649e-05,3.82905675412561e-05
1.41974137934563e-21,1.11873739864288e-91,19.5359456457566,9.69864481363682e-22,8.48832737006819e-07,1.06288092323771e-06
1.69031177205315e-21,8.97174062084852e-96,0.483243771466372,1.15469857679351e-21,2.09968404198747e-08,2.65571208707068e-08
2.0124467232605e-21,6.28200212040389e-100,0.0107814876389273,1.37475784387342e-21,4.68453374487337e-10,5.98472995762995e-10
2.39597326417636e-21,3.84257642619543e-104,0.000217355888274748,1.63675539857315e-21,9.44406771467841e-12,1.21863892657372e-11
2.85259123448846e-21,2.05432723857503e-108,3.96641153761546e-06,1.94868372397154e-21,1.72339748616206e-13,2.24607356706042e-13
3.39623019703339e-21,9.60392897447222e-113,6.56249663413989e-08,2.32005848850841e-21,2.8513910104807e-15,3.75319041834467e-15
4.04347437227888e-21,3.92790015341076e-117,9.85956201543143e-10,2.76220883044565e-21,4.2839589969196e-17,5.69475736214266e-17
4.81406855564664e-21,1.40603152067129e-121,1.34709773167213e-11,3.28862296393968e-21,5.85311136366362e-19,7.8574541596111e-19
5.73152045116199e-21,4.40691982729999e-126,1.67608139314645e-13,3.91535964976498e-21,7.28253846621306e-21,9.87234938976439e-21
6.82381779618748e-21,1.20991524698779e-130,1.90158239620577e-15,4.66153808299227e-21,8.26233559042447e-23,1.13099161769753e-22
8.1242821538087e-21,2.91085776681851e-135,1.96969368305487e-17,5.549921142108e-21,8.55827770188167e-25,1.18286929964967e-24
9.67258541861588e-21,6.13892717468006e-140,1.8649060103256e-19,6.60760979214089e-21,8.10297746374506e-27,1.13074029216863e-26
1.15159600453512e-20,1.1353290221026e-144,1.61575153382393e-21,7.86686982521932e-21,7.02040649399861e-29,9.8905752469059e-29
1.37106399195906e-20,1.84185100040268e-149,1.28236381312601e-23,9.36611615906187e-21,5.57184384657976e-31,7.92449923328115e-31
