output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
6.78797760778762e-25,1.32214897919984e+21,3.51276345350127e+21,4.63705466211006e-25,3.18677393832036e+15,3.26877939985494e+15
7.56676440699055e-25,1.11312243853717e+21,3.25394154545469e+21,5.16906539736803e-25,2.68295754343556e+15,2.86435118119979e+15
8.43490165984213e-25,9.08257523472333e+20,2.9862447065224e+21,5.76211389108557e-25,2.18917190923273e+15,2.44617677690441e+15
9.40264057190388e-25,7.15779023058273e+20,2.71771535467522e+21,6.42320302442816e-25,1.72524123390314e+15,2.03040821910643e+15
1.04814084727655e-24,5.42741601384556e+20,2.45586164083628e+21,7.16013912131304e-25,1.30816936498435e+15,1.63304792638606e+15
1.16839437531233e-24,3.94290666482893e+20,2.2071014221836e+21,7.98162412764801e-25,950358272659320,1.26847315307368e+15
1.30244462832322e-24,2.73163542992226e+20,1.97633540051346e+21,8.89735836632323e-25,658405726889951,948035022132550
1.45187450889136e-24,1.79546414031271e+20,1.76671754281648e+21,9.91815508131543e-25,432760484601371,678976978545774
1.61844852650842e-24,1.11331077443843e+20,1.5796552222593e+21,1.10560681234731e-24,268341148920962,463892791322934
1.80413363339329e-24,6.47192570338757e+19,1.41502407783846e+21,1.23245342857319e-24,155992739749971,300855396695073
2.01112245080965e-24,3.50310957316266e+19,1.27153686094345e+21,1.37385319684939e-24,84435403774175.8,184206857654327
2.24185916014621e-24,1.75233073063126e+19,1.14717646771492e+21,1.53147580487355e-24,42236404456275,105842218630129
2.49906836448875e-24,8.03437995964315e+18,1.03960099694511e+21,1.70718250413635e-24,19365255405218.7,56697539613652
2.78578726148933e-24,3.34631317115214e+18,9.4645300789345e+20,1.90304808809559e-24,8065614216742.46,28112600021833.3
3.1054015074389e-24,1.25376252138916e+18,8.65545313773552e+20,2.12138539191299e-24,3021942149381.54,12801615142573.8
3.46168519603617e-24,4.18109128616998e+17,7.94935020670618e+20,2.36477260305352e-24,1007767880482.62,5308261547519.08
3.85884542393324e-24,1.22687555474367e+17,7.32922135477072e+20,2.63608370523835e-24,295713652918.722,1985866898630.27
4.30157196930017e-24,3.12873054162273e+16,6.78014028641201e+20,2.93852241524209e-24,75411750921.6275,663631623858.171
4.79509267002684e-24,6.84257572537966e+15,6.28887077148793e+20,3.27566001326936e-24,16492651233.464,195989933598.257
5.34523515548338e-24,1.26531140461235e+15,5.84361370780092e+20,3.65147751362239e-24,3049778407.36107,50572234935.1596
5.95849566078469e-24,194888530956294,5.43391401279518e+20,4.07041267362246e-24,469739568.762457,11264702521.7736
6.64211573613722e-24,24613145832195.8,5.05068464411987e+20,4.53741239587975e-24,59325032.8912172,2138827533.08977
7.40416775707304e-24,2507921764102.28,4.68628424988882e+20,5.05799114269187e-24,6044840.51564626,341695906.955295
8.25365024530002e-24,202841712908.359,4.33459358873956e+20,5.63829605234487e-24,488909.112717254,45335426.3331136
9.20059412574288e-24,12818860494.6723,3.99105537610153e+20,6.28517952622765e-24,30897.2825196361,4932391.95612736
1.0256181174488e-23,623999939.002455,3.65266195544926e+20,7.00628014388893e-24,1504.02622882179,434954.316913496
1.1432876056298e-23,23133264.4072442,3.31789007066675e+20,7.81011286150402e-24,55.7580766472284,30790.8652964861
1.27445735108319e-23,649043.270769187,2.98658998589823e+20,8.70616955883993e-24,1.56438813830284,1738.92089231561
1.42067624255862e-23,13801.0702312019,2.65983742016288e+20,9.70503112200539e-24,0.0332647013503275,78.2484177284573
1.58367087329761e-23,225.038157567442,2.3397532806524e+20,1.08184923854898e-23,0.000542409173962806,2.8205522816235
